ID,Title,Created By,Created On,Estimate,Forecast,Forecast,Milestone,Preconditions,Priority,References,Section,Section Depth,Section Description,Steps,Steps Separated,Steps Separated (Expected Result),Steps Separated (Step),Suite,Suite ID,Type,Updated By,Updated On
C30128227,MLB Audio -> String Updates,Adam Smith,2/14/2023 12:27 PM,,Then the user should see MLB AT Bat (this is replacing MLB Audio) ,,,* The user is logged in,2 - Medium Priority,,MLBAPP/UI and String Updates,0,,"Given the user navigates to their account page
When the page opens ",,,,Master,S579322,Manual,Marco Osuna,2/14/2023 2:21 PM
C30226665,When user log in from paywall the app shows an error message and an infinite spinner appears,Marco Osuna,3/1/2023 11:55 AM,,"Expected result:

User should be redirected to home page.",,,,2 - Medium Priority,,MLBAPP/Defects,0,,"Fresh install app/delete storage data

Open MLB app.

Skip login.

Skip onboarding.

Click on login on paywall

Enter Valid credentials and then click on login button.

Actual result:

App shows error message and infinite spinner appears",,,,Master,S579322,Manual,Marco Osuna,3/1/2023 11:55 AM
C30226666,Team Snapshot - MLB.tv product link click throws error,Marco Osuna,3/1/2023 11:55 AM,,,,,,2 - Medium Priority,,MLBAPP/Defects,0,,"GIVEN a USER
WHEN I select the ?MLB.tv? Link from the Team Snapshot
AND there is a valid stream
AND it is the first time
THEN I will see the stream launch",,,,Master,S579322,Manual,Marco Osuna,3/1/2023 11:56 AM
C30226667,Targeted Home User receiving Team Tab on first launch of 12.0.0,Marco Osuna,3/1/2023 11:56 AM,,,,,,2 - Medium Priority,,MLBAPP/Defects,0,,"GIVEN a USER with a favorite Team Set
WHEN I am targeted to see the Home tab through an Adobe Activity
AND I am upgraded from 11.x to 12.0 through AppTester in the ?Release? flavor
THEN I will see the Home tab",,,,Master,S579322,Manual,Marco Osuna,3/1/2023 11:56 AM
C30226668,Logged Out user shown cut off feed select,Marco Osuna,3/1/2023 11:56 AM,,,,,,2 - Medium Priority,,MLBAPP/Defects,0,,"Steps to reproduce:
Open the app as a logged out user
Click the game tile for a game that has feeds

Expected result:
No text or UI elements are cut off",,,,Master,S579322,Manual,Marco Osuna,3/1/2023 11:57 AM
C30226669,Webview: Gameday deeplinks re-launch the app and reset backstack,Marco Osuna,3/1/2023 11:57 AM,,Gameday is shown,,,"When tapping a deeplink within a webview we are relaunching the app instead of navigating directly to the destination. This causes a white screen flash as well as a reset of the backstack, so tapping system back will navigate to the start destination instead of the calling webview. This will happen for any deeplink in our webviews, an easy way to test is to tap Player links within gameday, news, stats.",2 - Medium Priority,,MLBAPP/Defects,0,,"Launch gameday 5

Navigate to a page show player names or images

Tap player name or image

Wait for player page to load

Tap back arrow or use system back",,,,Master,S579322,Manual,Marco Osuna,3/1/2023 11:58 AM
C30717827,Paywall Does Not Show When Browse is Launched,Marco Osuna,5/25/2023 11:35 AM,,,,,,2 - Medium Priority,MLBAPP-621,MLBAPP/Defects,0,,,"1. Open Fresh MLB APP. During onboarding process, press skip in all steps. When home page is displayed, click on more menu before the page loads.
Expected Result:
More menu page should be displayed. Paywall should be displayed in top of it.",1. More menu page should be displayed. Paywall should be displayed in top of it.,"1. Open Fresh MLB APP. During onboarding process, press skip in all steps. When home page is displayed, click on more menu before the page loads.",Master,S579322,Manual,Marco Osuna,5/25/2023 11:37 AM
C30717873,Unexpected symbol in login page when phone set to Spanish,Marco Osuna,5/25/2023 11:56 AM,,,,,,2 - Medium Priority,MLBAPP-413,MLBAPP/Defects,0,,,"1. Set phone to Spanish in device settings.
Expected Result:
Phone should be in Spanish.
2. Open MLB app and navigate to Welcome page and click on login button.
Expected Result:
Validate ""Olvidaste tu contrase;a"" is displayed with no unexpected symbol.","1. Phone should be in Spanish.
2. Validate ""Olvidaste tu contrase;a"" is displayed with no unexpected symbol.","1. Set phone to Spanish in device settings.
2. Open MLB app and navigate to Welcome page and click on login button.",Master,S579322,Manual,Marco Osuna,5/25/2023 11:58 AM
C30717874,Unexpected behavior when user taps the keys at bottom of page,Marco Osuna,5/25/2023 11:59 AM,,,,,,2 - Medium Priority,MLBAPP-619,MLBAPP/Defects,0,,,"1. Open app and login

Expected Result:
Home page should be displayed.
2. Tap on Schedule on the top right corner of the Home page

Expected Result:
Schedule page should be displayed.
3. Tap on the keys at the bottom of the page (Home, Away, Spring Training, Today)
Expected Result:
the keys should be unresponsive to taps","1. Home page should be displayed.
2. Schedule page should be displayed.
3. the keys should be unresponsive to taps","1. Open app and login

2. Tap on Schedule on the top right corner of the Home page

3. Tap on the keys at the bottom of the page (Home, Away, Spring Training, Today)",Master,S579322,Manual,Marco Osuna,5/25/2023 12:00 PM
C30717878,NYM logo is not displaying the correct color in dark mode,Marco Osuna,5/25/2023 12:09 PM,,,,,,2 - Medium Priority,MLBAPP-593,MLBAPP/Defects,0,,,"1. Change display to dark mode in device settings.
Expected Result:
Device should be set in dark mode.
2. Open MLB app.
Expected Result:
App should be launched.
3. Navigate to scores.
Expected Result:
Scores page should be displayed.
4. Look for a NYM game that has a story.
Expected Result:
Colors of logo should accord dark mode.","1. Device should be set in dark mode.
2. App should be launched.
3. Scores page should be displayed.
4. Colors of logo should accord dark mode.","1. Change display to dark mode in device settings.
2. Open MLB app.
3. Navigate to scores.
4. Look for a NYM game that has a story.",Master,S579322,Manual,Marco Osuna,5/25/2023 12:11 PM
C30717879,"The ""Terms of Use"" and ""Privacy Policy"" links are cropped",Marco Osuna,5/25/2023 12:11 PM,,,,,,2 - Medium Priority,MLBAPP-616,MLBAPP/Defects,0,,,"1. 1. Open the ""MLB"" app.

2. 2. Tap on the ""Log In with another MLB account"" button.

3. 3. Enter the valid credentials and tap on the ""Log In"" button.

4. 4. The ""Follow Teams"" is Texas Rangers.

5. 5. The ""Follow Players"" are from Texas Rangers.

6. 6. Tap on the ""Next"" button on the ""Your Picks"" screen.

7. 7. Swipe down the ""Subscription"" pop-up.
Expected Result:
The ""Terms of Use"" and ""Privacy Police"" links are displayed fully on the ""Subscription"" pop-up.","1.
2.
3.
4.
5.
6.
7. The ""Terms of Use"" and ""Privacy Police"" links are displayed fully on the ""Subscription"" pop-up.","1. 1. Open the ""MLB"" app.

2. 2. Tap on the ""Log In with another MLB account"" button.

3. 3. Enter the valid credentials and tap on the ""Log In"" button.

4. 4. The ""Follow Teams"" is Texas Rangers.

5. 5. The ""Follow Players"" are from Texas Rangers.

6. 6. Tap on the ""Next"" button on the ""Your Picks"" screen.

7. 7. Swipe down the ""Subscription"" pop-up.",Master,S579322,Manual,Marco Osuna,5/25/2023 12:12 PM
C30814435,Crash when setting MLB TV Language/Video Quality,Marco Osuna,6/7/2023 12:03 PM,,App should not crash.,,,,2 - Medium Priority,MLBAPP-752,MLBAPP/Defects,0,,"Navigate to Settings
Click MLB TV Language Setting
OR
Click MLB TV Video Quality",,,,Master,S579322,Manual,Marco Osuna,6/7/2023 12:04 PM
